id,latitude,longitude,road_name,severity,date,time,datetime,weather,vehicle_type,road_risk_level
1,12.918265,77.60701,Sarjapur Road,Minor,2023-07-17,19:26,2023-07-17 19:26:22,Clear,Car,medium
2,12.855156,77.662611,Hosur Road,Minor,2023-04-17,12:31,2023-04-17 12:31:22,Rain,Bike,high
3,12.902191,77.64133,Outer Ring Road,Moderate,2024-12-15,20:54,2024-12-15 20:54:22,Clear,Car,high
4,12.934663,77.60265,Bannerghatta Road,Minor,2023-11-06,11:06,2023-11-06 11:06:22,Clear,Bike,medium
5,13.092778,77.600884,Airport Road,Moderate,2025-04-20,19:56,2025-04-20 19:56:22,Fog,Bike,medium
6,12.922179,77.609551,Sarjapur Road,Moderate,2025-11-16,08:36,2025-11-16 08:36:22,Clear,Bike,medium
7,12.847907,77.65058,Hosur Road,Minor,2025-07-04,20:00,2025-07-04 20:00:22,Clear,Bike,high
8,12.938892,77.619771,Koramangala 80ft Road,Moderate,2024-09-23,06:52,2024-09-23 06:52:22,Heavy Rain,Truck,low
9,12.924501,77.602508,Sarjapur Road,Moderate,2025-05-05,11:41,2025-05-05 11:41:22,Clear,Car,medium
10,12.916556,77.636047,Outer Ring Road,Severe,2024-04-05,06:44,2024-04-05 06:44:22,Fog,Auto,high
11,12.984269,77.644198,Indiranagar 100ft Road,Severe,2023-09-04,12:49,2023-09-04 12:49:22,Clear,Auto,low
12,12.969443,77.610968,Old Madras Road,Moderate,2024-08-24,22:57,2024-08-24 22:57:22,Heavy Rain,Car,high
13,12.93022,77.627773,Koramangala 80ft Road,Minor,2025-12-09,23:58,2025-12-09 23:58:22,Rain,Bus,low
14,12.986515,77.633449,Indiranagar 100ft Road,Minor,2023-12-10,07:25,2023-12-10 07:25:22,Clear,Auto,low
15,12.974872,77.74234,Whitefield Main Road,Moderate,2024-10-20,15:59,2024-10-20 15:59:22,Clear,Truck,high
16,12.905229,77.645367,Outer Ring Road,Severe,2025-10-02,11:34,2025-10-02 11:34:22,Clear,Bike,high
17,12.84463,77.665873,Hosur Road,Moderate,2025-09-18,19:12,2025-09-18 19:12:22,Rain,Auto,high
18,12.908629,77.612032,Sarjapur Road,Fatal,2023-05-04,21:36,2023-05-04 21:36:22,Rain,Car,medium
19,12.838212,77.65837,Hosur Road,Severe,2025-08-27,09:17,2025-08-27 09:17:22,Rain,Car,high
20,12.973465,77.648781,Indiranagar 100ft Road,Minor,2025-11-15,07:59,2025-11-15 07:59:22,Clear,Auto,low
21,12.928036,77.593615,Bannerghatta Road,Moderate,2025-11-15,18:38,2025-11-15 18:38:22,Clear,Truck,medium
22,12.910639,77.617247,Sarjapur Road,Moderate,2023-07-14,13:32,2023-07-14 13:32:22,Fog,Car,medium
23,12.941783,77.621872,Koramangala 80ft Road,Minor,2024-12-24,18:08,2024-12-24 18:08:22,Clear,Auto,low
24,12.961648,77.691975,Marathahalli Bridge Road,Severe,2025-02-02,08:28,2025-02-02 08:28:22,Clear,Bus,high
25,12.975746,77.745384,Whitefield Main Road,Minor,2023-04-12,10:13,2023-04-12 10:13:22,Clear,Truck,high
26,12.908417,77.606828,Sarjapur Road,Severe,2025-01-02,10:05,2025-01-02 10:05:22,Clear,Truck,medium
27,12.838521,77.655101,Hosur Road,Minor,2026-02-23,17:11,2026-02-23 17:11:22,Rain,Truck,high
28,12.914824,77.64284,Outer Ring Road,Severe,2025-03-01,07:51,2025-03-01 07:51:22,Heavy Rain,Bus,high
29,12.912469,77.611849,Sarjapur Road,Minor,2023-03-31,16:09,2023-03-31 16:09:22,Heavy Rain,Bike,medium
30,13.10257,77.587862,Airport Road,Minor,2023-05-24,03:08,2023-05-24 03:08:22,Clear,Bike,medium
31,12.851311,77.655605,Hosur Road,Moderate,2025-04-13,07:55,2025-04-13 07:55:22,Clear,Bike,high
32,12.933724,77.625011,Koramangala 80ft Road,Severe,2024-05-29,19:34,2024-05-29 19:34:22,Clear,Truck,low
33,12.977106,77.603935,Old Madras Road,Minor,2024-06-15,18:56,2024-06-15 18:56:22,Rain,Bus,high
34,12.917429,77.650519,Outer Ring Road,Minor,2025-11-02,13:55,2025-11-02 13:55:22,Clear,Bus,high
35,12.926186,77.606359,Sarjapur Road,Minor,2025-06-14,07:29,2025-06-14 07:29:22,Heavy Rain,Truck,medium
36,12.843617,77.666511,Hosur Road,Moderate,2025-07-28,16:47,2025-07-28 16:47:22,Heavy Rain,Bike,high
37,12.984841,77.593812,Old Madras Road,Minor,2023-10-26,07:17,2023-10-26 07:17:22,Clear,Bus,high
38,12.96902,77.751218,Whitefield Main Road,Minor,2024-10-23,05:04,2024-10-23 05:04:22,Rain,Bus,high
39,12.9751,77.605844,Old Madras Road,Moderate,2023-07-01,17:21,2023-07-01 17:21:22,Fog,Car,high
40,12.944656,77.627472,Koramangala 80ft Road,Minor,2024-03-21,14:19,2024-03-21 14:19:22,Clear,Bike,low
41,12.978329,77.594443,Old Madras Road,Minor,2023-04-29,13:45,2023-04-29 13:45:22,Clear,Bus,high
42,12.961828,77.749447,Whitefield Main Road,Moderate,2024-01-09,10:45,2024-01-09 10:45:22,Rain,Truck,high
43,12.837881,77.668933,Hosur Road,Fatal,2023-05-23,21:29,2023-05-23 21:29:22,Rain,Bike,high
44,13.09819,77.588635,Airport Road,Fatal,2024-05-06,11:48,2024-05-06 11:48:22,Rain,Bike,medium
45,12.850194,77.662584,Hosur Road,Fatal,2025-01-19,03:36,2025-01-19 03:36:22,Fog,Auto,high
46,12.983667,77.638593,Indiranagar 100ft Road,Severe,2024-10-27,19:11,2024-10-27 19:11:22,Rain,Auto,low
47,12.977228,77.602886,Old Madras Road,Moderate,2024-11-28,18:59,2024-11-28 18:59:22,Clear,Auto,high
48,13.099747,77.593219,Airport Road,Severe,2025-10-27,17:00,2025-10-27 17:00:22,Rain,Bus,medium
49,12.93731,77.630375,Koramangala 80ft Road,Severe,2025-01-31,19:04,2025-01-31 19:04:22,Clear,Bus,low
50,12.843674,77.654634,Hosur Road,Fatal,2023-09-12,09:23,2023-09-12 09:23:22,Clear,Bike,high
51,12.91394,77.647518,Outer Ring Road,Minor,2023-05-18,17:16,2023-05-18 17:16:22,Clear,Car,high
52,12.851925,77.652707,Hosur Road,Minor,2024-02-23,07:50,2024-02-23 07:50:22,Clear,Bike,high
