segment_id,road_name,start_lat,start_lon,end_lat,end_lon,risk_level,avg_traffic,speed_limit,lanes
delhi_Outer_Ring_Road_0,Outer Ring Road,28.7041,77.1025,28.7061,77.1045,high,1164,60,2
delhi_Outer_Ring_Road_1,Outer Ring Road,28.7061,77.1045,28.7081,77.10650000000001,high,4233,40,6
delhi_Outer_Ring_Road_2,Outer Ring Road,28.7081,77.10650000000001,28.7101,77.1085,high,865,60,6
delhi_Outer_Ring_Road_3,Outer Ring Road,28.7101,77.1085,28.7121,77.1105,high,1886,50,6
delhi_Outer_Ring_Road_4,Outer Ring Road,28.7121,77.1105,28.714100000000002,77.11250000000001,high,2754,60,4
delhi_Outer_Ring_Road_5,Outer Ring Road,28.714100000000002,77.11250000000001,28.7161,77.1145,high,535,60,2
delhi_Outer_Ring_Road_6,Outer Ring Road,28.7161,77.1145,28.7181,77.1165,high,563,50,6
delhi_Outer_Ring_Road_7,Outer Ring Road,28.7181,77.1165,28.7201,77.11850000000001,high,3835,80,3
delhi_Outer_Ring_Road_8,Outer Ring Road,28.7201,77.11850000000001,28.7221,77.1205,high,4485,60,2
delhi_Outer_Ring_Road_9,Outer Ring Road,28.7221,77.1205,28.7241,77.1225,high,4266,40,2
delhi_Ring_Road_0,Ring Road,28.6315,77.2167,28.633499999999998,77.2187,high,1476,40,6
delhi_Ring_Road_1,Ring Road,28.633499999999998,77.2187,28.6355,77.22070000000001,high,4181,50,6
delhi_Ring_Road_2,Ring Road,28.6355,77.22070000000001,28.6375,77.2227,high,2209,50,2
delhi_Ring_Road_3,Ring Road,28.6375,77.2227,28.639499999999998,77.2247,high,2764,50,3
delhi_Ring_Road_4,Ring Road,28.639499999999998,77.2247,28.6415,77.22670000000001,high,2999,60,6
delhi_Ring_Road_5,Ring Road,28.6415,77.22670000000001,28.6435,77.2287,high,984,50,3
delhi_Ring_Road_6,Ring Road,28.6435,77.2287,28.6455,77.2307,high,1932,80,2
delhi_Ring_Road_7,Ring Road,28.6455,77.2307,28.647499999999997,77.23270000000001,high,2301,60,4
delhi_NH-44_0,NH-44,28.7496,77.067,28.7516,77.06899999999999,high,1961,80,3
delhi_NH-44_1,NH-44,28.7516,77.06899999999999,28.753600000000002,77.071,high,3296,40,2
delhi_NH-44_2,NH-44,28.753600000000002,77.071,28.7556,77.073,high,1035,50,6
delhi_NH-44_3,NH-44,28.7556,77.073,28.7576,77.07499999999999,high,2347,60,6
delhi_NH-44_4,NH-44,28.7576,77.07499999999999,28.759600000000002,77.077,high,4237,40,3
delhi_NH-44_5,NH-44,28.759600000000002,77.077,28.7616,77.079,high,3224,80,4
delhi_NH-44_6,NH-44,28.7616,77.079,28.7636,77.08099999999999,high,2832,50,4
delhi_NH-44_7,NH-44,28.7636,77.08099999999999,28.7656,77.083,high,4340,50,3
delhi_NH-44_8,NH-44,28.7656,77.083,28.7676,77.085,high,3051,40,4
delhi_NH-44_9,NH-44,28.7676,77.085,28.7696,77.08699999999999,high,1978,40,4
delhi_NH-44_10,NH-44,28.7696,77.08699999999999,28.7716,77.089,high,2769,60,4
delhi_Mathura_Road_0,Mathura Road,28.5244,77.2066,28.5264,77.20859999999999,medium,4315,50,4
delhi_Mathura_Road_1,Mathura Road,28.5264,77.20859999999999,28.5284,77.2106,medium,4192,60,2
delhi_Mathura_Road_2,Mathura Road,28.5284,77.2106,28.5304,77.2126,medium,1635,50,4
delhi_Mathura_Road_3,Mathura Road,28.5304,77.2126,28.5324,77.21459999999999,medium,2908,60,3
delhi_Mathura_Road_4,Mathura Road,28.5324,77.21459999999999,28.5344,77.2166,medium,2430,60,4
delhi_Mathura_Road_5,Mathura Road,28.5344,77.2166,28.5364,77.2186,medium,3546,50,2
delhi_Mathura_Road_6,Mathura Road,28.5364,77.2186,28.5384,77.22059999999999,medium,4178,50,4
delhi_Mathura_Road_7,Mathura Road,28.5384,77.22059999999999,28.540399999999998,77.2226,medium,4752,50,2
delhi_Mathura_Road_8,Mathura Road,28.540399999999998,77.2226,28.5424,77.2246,medium,2297,50,4
delhi_Mathura_Road_9,Mathura Road,28.5424,77.2246,28.5444,77.22659999999999,medium,1191,80,4
delhi_MG_Road_0,MG Road,28.4595,77.0266,28.461499999999997,77.0286,medium,1055,40,2
delhi_MG_Road_1,MG Road,28.461499999999997,77.0286,28.4635,77.0306,medium,4003,60,3
delhi_MG_Road_2,MG Road,28.4635,77.0306,28.4655,77.0326,medium,4910,80,2
delhi_MG_Road_3,MG Road,28.4655,77.0326,28.467499999999998,77.0346,medium,3255,50,2
delhi_MG_Road_4,MG Road,28.467499999999998,77.0346,28.4695,77.0366,medium,3924,80,4
delhi_MG_Road_5,MG Road,28.4695,77.0366,28.4715,77.0386,medium,4467,50,6
delhi_MG_Road_6,MG Road,28.4715,77.0386,28.473499999999998,77.0406,medium,777,80,3
delhi_MG_Road_7,MG Road,28.473499999999998,77.0406,28.475499999999997,77.04260000000001,medium,2497,50,3
delhi_DND_Flyway_0,DND Flyway,28.5748,77.306,28.5768,77.30799999999999,medium,923,50,6
delhi_DND_Flyway_1,DND Flyway,28.5768,77.30799999999999,28.5788,77.31,medium,1296,80,4
delhi_DND_Flyway_2,DND Flyway,28.5788,77.31,28.5808,77.312,medium,869,40,6
delhi_DND_Flyway_3,DND Flyway,28.5808,77.312,28.5828,77.314,medium,4191,50,3
delhi_DND_Flyway_4,DND Flyway,28.5828,77.314,28.5848,77.316,medium,2207,60,6
delhi_DND_Flyway_5,DND Flyway,28.5848,77.316,28.5868,77.318,medium,4169,40,3
delhi_DND_Flyway_6,DND Flyway,28.5868,77.318,28.5888,77.32,medium,2175,40,4
delhi_DND_Flyway_7,DND Flyway,28.5888,77.32,28.590799999999998,77.322,medium,2262,80,4
delhi_Rohtak_Road_0,Rohtak Road,28.6814,77.1215,28.6834,77.12349999999999,high,1099,50,6
delhi_Rohtak_Road_1,Rohtak Road,28.6834,77.12349999999999,28.6854,77.1255,high,1838,50,6
delhi_Rohtak_Road_2,Rohtak Road,28.6854,77.1255,28.6874,77.1275,high,1564,60,3
delhi_Rohtak_Road_3,Rohtak Road,28.6874,77.1275,28.6894,77.1295,high,2222,40,4
delhi_Rohtak_Road_4,Rohtak Road,28.6894,77.1295,28.6914,77.1315,high,2873,40,4
delhi_Rohtak_Road_5,Rohtak Road,28.6914,77.1315,28.6934,77.1335,high,3170,40,6
delhi_Rohtak_Road_6,Rohtak Road,28.6934,77.1335,28.6954,77.1355,high,519,60,2
delhi_Rohtak_Road_7,Rohtak Road,28.6954,77.1355,28.6974,77.1375,high,2417,80,3
delhi_Rohtak_Road_8,Rohtak Road,28.6974,77.1375,28.6994,77.1395,high,1587,50,3
delhi_G_T_Road_0,G T Road,28.6506,77.2303,28.6526,77.2323,high,4448,60,6
delhi_G_T_Road_1,G T Road,28.6526,77.2323,28.654600000000002,77.2343,high,865,40,6
delhi_G_T_Road_2,G T Road,28.654600000000002,77.2343,28.6566,77.2363,high,546,80,3
delhi_G_T_Road_3,G T Road,28.6566,77.2363,28.6586,77.2383,high,3080,60,2
delhi_G_T_Road_4,G T Road,28.6586,77.2383,28.660600000000002,77.2403,high,1005,60,6
delhi_G_T_Road_5,G T Road,28.660600000000002,77.2403,28.6626,77.2423,high,3045,60,2
delhi_G_T_Road_6,G T Road,28.6626,77.2423,28.6646,77.2443,high,1102,80,2
delhi_G_T_Road_7,G T Road,28.6646,77.2443,28.6666,77.2463,high,2750,80,6
delhi_Dwarka_Expressway_0,Dwarka Expressway,28.5921,77.046,28.594099999999997,77.048,medium,1115,80,2
delhi_Dwarka_Expressway_1,Dwarka Expressway,28.594099999999997,77.048,28.5961,77.05000000000001,medium,830,50,4
delhi_Dwarka_Expressway_2,Dwarka Expressway,28.5961,77.05000000000001,28.5981,77.052,medium,1533,60,3
delhi_Dwarka_Expressway_3,Dwarka Expressway,28.5981,77.052,28.600099999999998,77.054,medium,2972,60,2
delhi_Dwarka_Expressway_4,Dwarka Expressway,28.600099999999998,77.054,28.6021,77.05600000000001,medium,1323,40,6
delhi_Dwarka_Expressway_5,Dwarka Expressway,28.6021,77.05600000000001,28.6041,77.058,medium,2210,50,3
delhi_Dwarka_Expressway_6,Dwarka Expressway,28.6041,77.058,28.606099999999998,77.06,medium,613,40,6
delhi_Dwarka_Expressway_7,Dwarka Expressway,28.606099999999998,77.06,28.608099999999997,77.06200000000001,medium,2450,80,4
delhi_Dwarka_Expressway_8,Dwarka Expressway,28.608099999999997,77.06200000000001,28.6101,77.06400000000001,medium,1136,60,4
delhi_Lodhi_Road_0,Lodhi Road,28.5877,77.243,28.5897,77.24499999999999,low,3899,80,3
delhi_Lodhi_Road_1,Lodhi Road,28.5897,77.24499999999999,28.591700000000003,77.247,low,872,60,6
delhi_Lodhi_Road_2,Lodhi Road,28.591700000000003,77.247,28.593700000000002,77.249,low,1927,60,6
delhi_Lodhi_Road_3,Lodhi Road,28.593700000000002,77.249,28.5957,77.25099999999999,low,3643,40,3
delhi_Lodhi_Road_4,Lodhi Road,28.5957,77.25099999999999,28.597700000000003,77.253,low,4140,60,4
delhi_Lodhi_Road_5,Lodhi Road,28.597700000000003,77.253,28.599700000000002,77.255,low,1006,50,2
delhi_Lodhi_Road_6,Lodhi Road,28.599700000000002,77.255,28.6017,77.25699999999999,low,2628,40,2
delhi_Lodhi_Road_7,Lodhi Road,28.6017,77.25699999999999,28.6037,77.259,low,2988,40,2
delhi_Lodhi_Road_8,Lodhi Road,28.6037,77.259,28.605700000000002,77.261,low,3074,40,3
delhi_Lodhi_Road_9,Lodhi Road,28.605700000000002,77.261,28.6077,77.26299999999999,low,2454,40,3
delhi_Lodhi_Road_10,Lodhi Road,28.6077,77.26299999999999,28.6097,77.265,low,4721,60,3
