id,latitude,longitude,road_name,severity,date,time,datetime,weather,vehicle_type,road_risk_level
1,19.050447,72.836301,Linking Road Bandra,Minor,2023-03-09,19:48,2023-03-09 19:48:22,Clear,Auto,low
2,19.114558,72.894804,Eastern Express Highway,Minor,2024-04-20,12:17,2024-04-20 12:17:22,Clear,Car,high
3,19.12268,72.836037,SV Road Andheri,Fatal,2024-05-17,17:26,2024-05-17 17:26:22,Clear,Truck,medium
4,19.07741,72.899306,LBS Marg,Minor,2023-06-02,19:54,2023-06-02 19:54:22,Clear,Car,medium
5,19.110386,72.860983,Western Express Highway,Fatal,2024-09-07,00:22,2024-09-07 00:22:22,Rain,Bus,high
6,19.00762,72.817074,Worli Sea Link,Moderate,2024-01-20,18:34,2024-01-20 18:34:22,Clear,Bus,medium
7,19.106407,72.870297,Western Express Highway,Minor,2023-03-10,19:28,2023-03-10 19:28:22,Clear,Bus,high
8,19.214131,72.968236,Ghodbunder Road,Moderate,2025-07-27,08:06,2025-07-27 08:06:22,Clear,Auto,high
9,19.129678,72.911472,Jogeshwari-Vikhroli Link Road,Minor,2025-04-01,20:30,2025-04-01 20:30:22,Rain,Car,high
10,18.952119,72.815483,Marine Drive,Severe,2024-05-25,03:23,2024-05-25 03:23:22,Clear,Bus,low
11,19.046328,72.928544,Sion-Panvel Highway,Fatal,2025-06-19,11:42,2025-06-19 11:42:22,Clear,Truck,medium
12,18.94201,72.81393,Marine Drive,Fatal,2024-07-15,12:37,2024-07-15 12:37:22,Rain,Truck,low
13,19.021142,72.803253,Worli Sea Link,Severe,2025-02-24,16:58,2025-02-24 16:58:22,Fog,Bus,medium
14,19.118932,72.925674,Jogeshwari-Vikhroli Link Road,Moderate,2024-11-23,07:56,2024-11-23 07:56:22,Rain,Bus,high
15,19.009092,72.817024,Worli Sea Link,Minor,2023-10-27,08:19,2023-10-27 08:19:22,Clear,Car,medium
16,19.129756,72.914236,Jogeshwari-Vikhroli Link Road,Fatal,2025-11-24,20:58,2025-11-24 20:58:22,Fog,Bike,high
17,19.066668,72.836876,Linking Road Bandra,Moderate,2024-11-28,19:00,2024-11-28 19:00:22,Clear,Car,low
18,19.108807,72.887793,Eastern Express Highway,Minor,2025-09-04,18:45,2025-09-04 18:45:22,Clear,Car,high
19,18.953084,72.833402,Marine Drive,Minor,2023-09-27,00:38,2023-09-27 00:38:22,Fog,Car,low
20,19.223702,72.97329,Ghodbunder Road,Minor,2023-09-25,21:27,2023-09-25 21:27:22,Clear,Bus,high
21,19.06794,72.835385,Linking Road Bandra,Severe,2023-10-12,20:42,2023-10-12 20:42:22,Clear,Car,low
22,19.107719,72.89558,Eastern Express Highway,Fatal,2024-11-25,18:17,2024-11-25 18:17:22,Rain,Auto,high
23,19.078569,72.89629,LBS Marg,Minor,2025-10-02,17:32,2025-10-02 17:32:22,Clear,Truck,medium
24,19.023732,72.815129,Worli Sea Link,Moderate,2025-01-10,09:08,2025-01-10 09:08:22,Clear,Bike,medium
25,19.12062,72.842651,SV Road Andheri,Fatal,2024-02-23,18:32,2024-02-23 18:32:22,Rain,Truck,medium
26,19.121784,72.863933,Western Express Highway,Fatal,2023-06-21,11:29,2023-06-21 11:29:22,Clear,Bus,high
27,19.107308,72.877487,Eastern Express Highway,Moderate,2023-10-10,09:09,2023-10-10 09:09:22,Rain,Bus,high
28,19.134469,72.910565,Jogeshwari-Vikhroli Link Road,Minor,2023-07-01,20:27,2023-07-01 20:27:22,Clear,Car,high
29,19.048553,72.929411,Sion-Panvel Highway,Minor,2025-03-12,03:51,2025-03-12 03:51:22,Clear,Car,medium
30,19.0707,72.891543,LBS Marg,Moderate,2024-09-29,06:10,2024-09-29 06:10:22,Clear,Auto,medium
31,18.951572,72.832927,Marine Drive,Moderate,2025-05-01,16:39,2025-05-01 16:39:22,Clear,Auto,low
32,18.949731,72.817476,Marine Drive,Fatal,2025-04-04,20:53,2025-04-04 20:53:22,Clear,Auto,low
33,19.111695,72.890632,Eastern Express Highway,Minor,2024-03-17,05:13,2024-03-17 05:13:22,Fog,Car,high
34,19.122954,72.864282,Western Express Highway,Moderate,2025-12-08,06:14,2025-12-08 06:14:22,Fog,Bike,high
35,19.057223,72.820881,Linking Road Bandra,Severe,2025-07-26,13:09,2025-07-26 13:09:22,Clear,Auto,low
36,19.050361,72.824953,Linking Road Bandra,Minor,2025-04-02,22:58,2025-04-02 22:58:22,Clear,Bus,low
37,19.059167,72.819739,Linking Road Bandra,Minor,2024-01-30,08:14,2024-01-30 08:14:22,Rain,Truck,low
38,19.033737,72.92957,Sion-Panvel Highway,Minor,2023-05-12,08:01,2023-05-12 08:01:22,Clear,Bike,medium
39,19.053283,72.837193,Linking Road Bandra,Minor,2026-02-01,18:11,2026-02-01 18:11:22,Clear,Car,low
40,19.121571,72.87813,Western Express Highway,Moderate,2026-01-26,08:15,2026-01-26 08:15:22,Clear,Auto,high
41,19.075569,72.890558,LBS Marg,Minor,2024-04-09,18:42,2024-04-09 18:42:22,Clear,Auto,medium
42,19.025725,72.819313,Worli Sea Link,Moderate,2023-04-10,12:07,2023-04-10 12:07:22,Fog,Auto,medium
43,19.098342,72.884833,Eastern Express Highway,Severe,2025-10-07,17:06,2025-10-07 17:06:22,Fog,Truck,high
44,19.040175,72.920544,Sion-Panvel Highway,Minor,2024-02-20,06:55,2024-02-20 06:55:22,Fog,Car,medium
45,19.067865,72.838836,Linking Road Bandra,Moderate,2026-01-18,01:40,2026-01-18 01:40:22,Clear,Bus,low
46,19.118841,72.840084,SV Road Andheri,Minor,2024-04-02,19:17,2024-04-02 19:17:22,Clear,Bus,medium
47,19.111484,72.883542,Eastern Express Highway,Moderate,2024-05-22,19:52,2024-05-22 19:52:22,Fog,Bike,high
48,19.066356,72.823113,Linking Road Bandra,Minor,2024-12-09,13:07,2024-12-09 13:07:22,Rain,Auto,low
49,19.105543,72.835984,SV Road Andheri,Minor,2025-06-07,06:22,2025-06-07 06:22:22,Heavy Rain,Bus,medium
50,19.107087,72.892546,Eastern Express Highway,Fatal,2023-06-13,03:35,2023-06-13 03:35:22,Clear,Bus,high
51,19.108689,72.826345,SV Road Andheri,Fatal,2024-02-14,18:02,2024-02-14 18:02:22,Fog,Bike,medium
52,19.116157,72.839894,SV Road Andheri,Minor,2025-10-29,18:26,2025-10-29 18:26:22,Clear,Car,medium
53,19.061644,72.838428,Linking Road Bandra,Fatal,2023-04-03,02:10,2023-04-03 02:10:22,Rain,Car,low
54,19.062891,72.907862,LBS Marg,Severe,2024-03-08,16:02,2024-03-08 16:02:22,Clear,Bus,medium
55,19.213662,72.98298,Ghodbunder Road,Minor,2024-10-28,06:40,2024-10-28 06:40:22,Fog,Truck,high
56,18.945341,72.823265,Marine Drive,Minor,2023-06-30,09:59,2023-06-30 09:59:22,Clear,Bus,low
57,19.100044,72.881707,Eastern Express Highway,Minor,2024-01-07,10:28,2024-01-07 10:28:22,Rain,Truck,high
58,19.021058,72.805839,Worli Sea Link,Moderate,2023-06-17,08:24,2023-06-17 08:24:22,Clear,Bike,medium
59,18.937825,72.815297,Marine Drive,Moderate,2024-05-28,01:05,2024-05-28 01:05:22,Clear,Auto,low
60,19.035518,72.922928,Sion-Panvel Highway,Moderate,2024-06-16,10:02,2024-06-16 10:02:22,Clear,Bike,medium
61,19.127965,72.916204,Jogeshwari-Vikhroli Link Road,Minor,2025-01-31,17:59,2025-01-31 17:59:22,Clear,Car,high
62,19.11448,72.871899,Western Express Highway,Severe,2023-03-19,19:29,2023-03-19 19:29:22,Clear,Bus,high
63,18.950665,72.827586,Marine Drive,Minor,2025-09-28,20:32,2025-09-28 20:32:22,Clear,Bike,low
64,19.105455,72.885371,Eastern Express Highway,Severe,2023-06-23,14:51,2023-06-23 14:51:22,Clear,Truck,high
65,19.116568,72.839498,SV Road Andheri,Severe,2024-05-01,00:19,2024-05-01 00:19:22,Heavy Rain,Bike,medium
66,19.10821,72.833386,SV Road Andheri,Moderate,2025-08-16,19:48,2025-08-16 19:48:22,Rain,Bike,medium
67,19.009158,72.810299,Worli Sea Link,Fatal,2025-07-14,08:16,2025-07-14 08:16:22,Clear,Auto,medium
68,19.213175,72.979377,Ghodbunder Road,Moderate,2024-03-30,19:42,2024-03-30 19:42:22,Clear,Truck,high
69,19.126207,72.914688,Jogeshwari-Vikhroli Link Road,Moderate,2024-07-29,18:04,2024-07-29 18:04:22,Clear,Car,high
70,19.059714,72.828633,Linking Road Bandra,Minor,2024-06-06,07:22,2024-06-06 07:22:22,Rain,Truck,low
71,19.133484,72.924041,Jogeshwari-Vikhroli Link Road,Fatal,2025-07-23,05:36,2025-07-23 05:36:22,Rain,Bike,high
72,19.067645,72.907957,LBS Marg,Moderate,2025-09-13,11:33,2025-09-13 11:33:22,Rain,Bus,medium
73,19.104935,72.890313,Eastern Express Highway,Moderate,2024-08-07,09:37,2024-08-07 09:37:22,Fog,Bike,high
74,19.044293,72.935294,Sion-Panvel Highway,Fatal,2023-09-02,18:58,2023-09-02 18:58:22,Clear,Truck,medium
75,19.019289,72.81981,Worli Sea Link,Severe,2025-06-30,10:07,2025-06-30 10:07:22,Clear,Bus,medium
76,19.059733,72.835825,Linking Road Bandra,Minor,2024-01-25,12:21,2024-01-25 12:21:22,Clear,Truck,low
77,19.11911,72.917029,Jogeshwari-Vikhroli Link Road,Minor,2024-03-27,21:16,2024-03-27 21:16:22,Clear,Truck,high
78,19.1326,72.911065,Jogeshwari-Vikhroli Link Road,Moderate,2025-05-06,13:28,2025-05-06 13:28:22,Heavy Rain,Bike,high
79,19.033484,72.926574,Sion-Panvel Highway,Minor,2025-11-21,13:28,2025-11-21 13:28:22,Clear,Bus,medium
80,19.116887,72.894395,Eastern Express Highway,Moderate,2025-12-24,09:54,2025-12-24 09:54:22,Rain,Auto,high
81,19.123961,72.925298,Jogeshwari-Vikhroli Link Road,Minor,2025-11-30,19:39,2025-11-30 19:39:22,Heavy Rain,Car,high
82,19.134273,72.917818,Jogeshwari-Vikhroli Link Road,Severe,2023-06-28,08:23,2023-06-28 08:23:22,Fog,Bike,high
83,19.227021,72.978156,Ghodbunder Road,Moderate,2023-07-21,18:39,2023-07-21 18:39:22,Rain,Car,high
84,19.21615,72.977085,Ghodbunder Road,Moderate,2025-08-24,16:36,2025-08-24 16:36:22,Heavy Rain,Auto,high
85,19.116579,72.836841,SV Road Andheri,Severe,2025-08-19,17:21,2025-08-19 17:21:22,Fog,Auto,medium
86,18.937087,72.815784,Marine Drive,Moderate,2025-05-24,17:39,2025-05-24 17:39:22,Clear,Truck,low
87,19.058381,72.83794,Linking Road Bandra,Moderate,2024-02-27,06:25,2024-02-27 06:25:22,Rain,Truck,low
88,19.114785,72.876267,Western Express Highway,Moderate,2025-09-06,22:32,2025-09-06 22:32:22,Fog,Bus,high
89,19.121956,72.838266,SV Road Andheri,Moderate,2025-07-09,14:17,2025-07-09 14:17:22,Clear,Truck,medium
90,19.073243,72.898452,LBS Marg,Severe,2023-05-12,07:29,2023-05-12 07:29:22,Fog,Truck,medium
91,18.935764,72.81368,Marine Drive,Moderate,2024-05-10,08:39,2024-05-10 08:39:22,Rain,Auto,low
92,19.209106,72.986624,Ghodbunder Road,Moderate,2024-03-28,15:20,2024-03-28 15:20:22,Rain,Truck,high
93,19.116057,72.872995,Western Express Highway,Minor,2025-07-12,08:21,2025-07-12 08:21:22,Clear,Car,high
94,19.110953,72.872885,Western Express Highway,Minor,2025-12-05,05:07,2025-12-05 05:07:22,Clear,Auto,high
95,19.218986,72.969425,Ghodbunder Road,Fatal,2025-11-01,17:59,2025-11-01 17:59:22,Clear,Truck,high
96,19.053635,72.838422,Linking Road Bandra,Severe,2024-07-30,09:20,2024-07-30 09:20:22,Fog,Car,low
97,19.110232,72.828503,SV Road Andheri,Moderate,2024-04-22,07:20,2024-04-22 07:20:22,Clear,Bike,medium
98,18.936082,72.832136,Marine Drive,Moderate,2025-05-15,11:55,2025-05-15 11:55:22,Fog,Car,low
99,19.133959,72.907415,Jogeshwari-Vikhroli Link Road,Fatal,2025-04-24,04:16,2025-04-24 04:16:22,Fog,Bike,high
100,19.008677,72.805496,Worli Sea Link,Minor,2025-02-22,21:30,2025-02-22 21:30:22,Clear,Car,medium
101,19.008576,72.822014,Worli Sea Link,Moderate,2024-10-10,09:06,2024-10-10 09:06:22,Fog,Car,medium
102,19.0212,72.812134,Worli Sea Link,Severe,2024-02-03,11:09,2024-02-03 11:09:22,Clear,Truck,medium
103,19.077977,72.903718,LBS Marg,Minor,2025-06-28,11:49,2025-06-28 11:49:22,Heavy Rain,Bus,medium
