segment_id,road_name,start_lat,start_lon,end_lat,end_lon,risk_level,avg_traffic,speed_limit,lanes
mumbai_Western_Express_Highway_0,Western Express Highway,19.1136,72.8697,19.1156,72.87169999999999,high,4160,50,4
mumbai_Western_Express_Highway_1,Western Express Highway,19.1156,72.87169999999999,19.117600000000003,72.8737,high,1603,80,3
mumbai_Western_Express_Highway_2,Western Express Highway,19.117600000000003,72.8737,19.119600000000002,72.8757,high,4345,50,4
mumbai_Western_Express_Highway_3,Western Express Highway,19.119600000000002,72.8757,19.1216,72.87769999999999,high,3855,80,4
mumbai_Western_Express_Highway_4,Western Express Highway,19.1216,72.87769999999999,19.123600000000003,72.8797,high,4773,80,6
mumbai_Western_Express_Highway_5,Western Express Highway,19.123600000000003,72.8797,19.125600000000002,72.8817,high,546,60,6
mumbai_Western_Express_Highway_6,Western Express Highway,19.125600000000002,72.8817,19.1276,72.88369999999999,high,1656,80,4
mumbai_Western_Express_Highway_7,Western Express Highway,19.1276,72.88369999999999,19.1296,72.8857,high,4899,50,2
mumbai_Eastern_Express_Highway_0,Eastern Express Highway,19.1076,72.8856,19.1096,72.88759999999999,high,1708,60,2
mumbai_Eastern_Express_Highway_1,Eastern Express Highway,19.1096,72.88759999999999,19.111600000000003,72.8896,high,779,60,4
mumbai_Eastern_Express_Highway_2,Eastern Express Highway,19.111600000000003,72.8896,19.1136,72.8916,high,755,40,4
mumbai_Eastern_Express_Highway_3,Eastern Express Highway,19.1136,72.8916,19.1156,72.89359999999999,high,4857,80,2
mumbai_Eastern_Express_Highway_4,Eastern Express Highway,19.1156,72.89359999999999,19.117600000000003,72.8956,high,2463,60,3
mumbai_Eastern_Express_Highway_5,Eastern Express Highway,19.117600000000003,72.8956,19.119600000000002,72.8976,high,1361,40,6
mumbai_Eastern_Express_Highway_6,Eastern Express Highway,19.119600000000002,72.8976,19.1216,72.89959999999999,high,2483,60,2
mumbai_Eastern_Express_Highway_7,Eastern Express Highway,19.1216,72.89959999999999,19.1236,72.9016,high,1802,50,4
mumbai_Eastern_Express_Highway_8,Eastern Express Highway,19.1236,72.9016,19.125600000000002,72.9036,high,2299,50,4
mumbai_Eastern_Express_Highway_9,Eastern Express Highway,19.125600000000002,72.9036,19.1276,72.90559999999999,high,1413,50,6
mumbai_Sion-Panvel_Highway_0,Sion-Panvel Highway,19.0433,72.9265,19.045299999999997,72.9285,medium,2375,80,4
mumbai_Sion-Panvel_Highway_1,Sion-Panvel Highway,19.045299999999997,72.9285,19.0473,72.93050000000001,medium,4736,80,3
mumbai_Sion-Panvel_Highway_2,Sion-Panvel Highway,19.0473,72.93050000000001,19.0493,72.9325,medium,3928,50,3
mumbai_Sion-Panvel_Highway_3,Sion-Panvel Highway,19.0493,72.9325,19.051299999999998,72.9345,medium,1017,60,2
mumbai_Sion-Panvel_Highway_4,Sion-Panvel Highway,19.051299999999998,72.9345,19.0533,72.93650000000001,medium,1351,60,3
mumbai_Sion-Panvel_Highway_5,Sion-Panvel Highway,19.0533,72.93650000000001,19.0553,72.9385,medium,3955,80,6
mumbai_Sion-Panvel_Highway_6,Sion-Panvel Highway,19.0553,72.9385,19.057299999999998,72.9405,medium,2519,50,2
mumbai_Sion-Panvel_Highway_7,Sion-Panvel Highway,19.057299999999998,72.9405,19.059299999999997,72.94250000000001,medium,1684,50,2
mumbai_LBS_Marg_0,LBS Marg,19.0728,72.8987,19.0748,72.9007,medium,2607,50,3
mumbai_LBS_Marg_1,LBS Marg,19.0748,72.9007,19.076800000000002,72.90270000000001,medium,4388,50,4
mumbai_LBS_Marg_2,LBS Marg,19.076800000000002,72.90270000000001,19.0788,72.9047,medium,3109,60,6
mumbai_LBS_Marg_3,LBS Marg,19.0788,72.9047,19.0808,72.9067,medium,1396,50,2
mumbai_LBS_Marg_4,LBS Marg,19.0808,72.9067,19.082800000000002,72.90870000000001,medium,3819,80,6
mumbai_LBS_Marg_5,LBS Marg,19.082800000000002,72.90870000000001,19.0848,72.9107,medium,2656,50,6
mumbai_LBS_Marg_6,LBS Marg,19.0848,72.9107,19.0868,72.9127,medium,3785,50,4
mumbai_LBS_Marg_7,LBS Marg,19.0868,72.9127,19.0888,72.91470000000001,medium,2840,60,2
mumbai_LBS_Marg_8,LBS Marg,19.0888,72.91470000000001,19.0908,72.9167,medium,2238,50,4
mumbai_LBS_Marg_9,LBS Marg,19.0908,72.9167,19.0928,72.9187,medium,4830,80,2
mumbai_LBS_Marg_10,LBS Marg,19.0928,72.9187,19.0948,72.92070000000001,medium,1346,40,6
mumbai_SV_Road_Andheri_0,SV Road Andheri,19.1136,72.8347,19.1156,72.8367,medium,2627,40,2
mumbai_SV_Road_Andheri_1,SV Road Andheri,19.1156,72.8367,19.117600000000003,72.8387,medium,1215,40,2
mumbai_SV_Road_Andheri_2,SV Road Andheri,19.117600000000003,72.8387,19.119600000000002,72.8407,medium,3326,80,2
mumbai_SV_Road_Andheri_3,SV Road Andheri,19.119600000000002,72.8407,19.1216,72.8427,medium,1019,40,3
mumbai_SV_Road_Andheri_4,SV Road Andheri,19.1216,72.8427,19.123600000000003,72.8447,medium,3160,60,6
mumbai_SV_Road_Andheri_5,SV Road Andheri,19.123600000000003,72.8447,19.125600000000002,72.8467,medium,2225,80,4
