id,latitude,longitude,road_name,severity,date,time,datetime,weather,vehicle_type,road_risk_level
1,19.106139,72.844604,SV Road Andheri,Moderate,2025-08-31,20:52,2025-08-31 20:52:09.121496,Fog,Truck,medium
2,19.11837,72.878858,JVLR,Moderate,2025-12-07,06:15,2025-12-07 06:15:09.121496,Clear,Car,high
3,19.215565,72.969653,Ghodbunder Road,Moderate,2023-07-02,09:18,2023-07-02 09:18:09.121496,Clear,Auto,high
4,18.973304,72.811325,Pedder Road,Minor,2024-10-25,20:10,2024-10-25 20:10:09.121496,Rain,Car,low
5,19.056821,72.821568,Linking Road Bandra,Minor,2023-03-17,07:20,2023-03-17 07:20:09.121496,Clear,Bus,low
6,19.119761,72.860971,Western Express Highway,Minor,2025-12-18,18:23,2025-12-18 18:23:09.121496,Clear,Bus,high
7,19.020998,72.854691,Annie Besant Road,Fatal,2025-11-24,17:05,2025-11-24 17:05:09.121496,Rain,Auto,low
8,19.197241,72.996914,Thane-Belapur Road,Severe,2024-01-08,08:38,2024-01-08 08:38:09.121496,Clear,Bus,medium
9,19.169694,72.842662,SV Road Goregaon,Minor,2024-01-18,15:56,2024-01-18 15:56:09.121496,Clear,Bus,medium
10,19.05697,72.823065,Linking Road Bandra,Moderate,2023-09-20,14:17,2023-09-20 14:17:09.121496,Clear,Car,low
11,19.209551,72.971451,Ghodbunder Road,Severe,2024-01-23,09:57,2024-01-23 09:57:09.121496,Rain,Truck,high
12,19.107951,72.86636,Western Express Highway,Moderate,2025-06-28,22:53,2025-06-28 22:53:09.121496,Clear,Auto,high
13,19.116181,72.89384,Eastern Express Highway,Severe,2025-10-05,23:17,2025-10-05 23:17:09.121496,Rain,Bike,high
14,19.176595,72.951945,Mulund-Airoli Bridge,Minor,2025-07-08,04:37,2025-07-08 04:37:09.121496,Clear,Auto,medium
15,19.225331,72.979789,Ghodbunder Road,Minor,2024-01-21,09:56,2024-01-21 09:56:09.121496,Clear,Car,high
16,18.946108,72.824374,Marine Drive,Minor,2024-09-15,06:25,2024-09-15 06:25:09.121496,Clear,Truck,low
17,19.217397,72.971751,Ghodbunder Road,Minor,2024-02-13,16:07,2024-02-13 16:07:09.121496,Rain,Car,high
18,19.109596,72.890635,Eastern Express Highway,Minor,2023-07-25,18:47,2023-07-25 18:47:09.121496,Clear,Car,high
19,18.935031,72.818123,Marine Drive,Moderate,2026-01-30,03:41,2026-01-30 03:41:09.121496,Clear,Bus,low
20,18.976273,72.813123,Pedder Road,Severe,2023-08-05,18:05,2023-08-05 18:05:09.121496,Clear,Truck,low
21,19.119191,72.863936,Western Express Highway,Moderate,2023-08-27,17:48,2023-08-27 17:48:09.121496,Clear,Car,high
22,19.015788,72.80784,Worli Sea Link,Minor,2025-07-15,06:53,2025-07-15 06:53:09.121496,Clear,Auto,medium
23,19.121224,72.843272,SV Road Andheri,Minor,2024-09-18,19:58,2024-09-18 19:58:09.121496,Rain,Truck,medium
24,19.012535,72.838302,Annie Besant Road,Fatal,2023-12-10,15:37,2023-12-10 15:37:09.121496,Rain,Truck,low
25,19.041281,72.920169,Sion-Panvel Highway,Moderate,2023-05-06,08:02,2023-05-06 08:02:09.121496,Clear,Bus,medium
26,19.194179,73.005777,Thane-Belapur Road,Minor,2025-07-18,22:35,2025-07-18 22:35:09.121496,Clear,Bike,medium
27,19.02065,72.8516,Annie Besant Road,Moderate,2024-03-28,07:51,2024-03-28 07:51:09.121496,Rain,Auto,low
28,19.20055,72.998079,Thane-Belapur Road,Moderate,2023-10-01,18:19,2023-10-01 18:19:09.121496,Clear,Bike,medium
29,19.165535,72.964511,Mulund-Airoli Bridge,Fatal,2025-01-07,12:11,2025-01-07 12:11:09.121496,Clear,Truck,medium
30,19.051127,72.93159,Sion-Panvel Highway,Minor,2025-11-23,17:31,2025-11-23 17:31:09.121496,Rain,Truck,medium
