segment_id,road_name,start_lat,start_lon,end_lat,end_lon,risk_level,avg_traffic,speed_limit,lanes
Western_Express_Highway_0,Western Express Highway,19.1136,72.8697,19.1156,72.87169999999999,high,3734,60,3
Western_Express_Highway_1,Western Express Highway,19.1156,72.87169999999999,19.117600000000003,72.8737,high,4038,80,3
Western_Express_Highway_2,Western Express Highway,19.117600000000003,72.8737,19.119600000000002,72.8757,high,3971,60,2
Western_Express_Highway_3,Western Express Highway,19.119600000000002,72.8757,19.1216,72.87769999999999,high,4042,40,3
Western_Express_Highway_4,Western Express Highway,19.1216,72.87769999999999,19.123600000000003,72.8797,high,551,60,2
Western_Express_Highway_5,Western Express Highway,19.123600000000003,72.8797,19.125600000000002,72.8817,high,3304,40,4
Western_Express_Highway_6,Western Express Highway,19.125600000000002,72.8817,19.1276,72.88369999999999,high,751,50,4
Western_Express_Highway_7,Western Express Highway,19.1276,72.88369999999999,19.1296,72.8857,high,3416,80,2
Western_Express_Highway_8,Western Express Highway,19.1296,72.8857,19.131600000000002,72.8877,high,718,50,6
Western_Express_Highway_9,Western Express Highway,19.131600000000002,72.8877,19.1336,72.88969999999999,high,1550,40,2
Eastern_Express_Highway_0,Eastern Express Highway,19.1076,72.8856,19.1096,72.88759999999999,high,2353,40,3
Eastern_Express_Highway_1,Eastern Express Highway,19.1096,72.88759999999999,19.111600000000003,72.8896,high,3309,50,3
Eastern_Express_Highway_2,Eastern Express Highway,19.111600000000003,72.8896,19.1136,72.8916,high,2686,80,6
Eastern_Express_Highway_3,Eastern Express Highway,19.1136,72.8916,19.1156,72.89359999999999,high,1079,50,2
Eastern_Express_Highway_4,Eastern Express Highway,19.1156,72.89359999999999,19.117600000000003,72.8956,high,1303,50,2
Eastern_Express_Highway_5,Eastern Express Highway,19.117600000000003,72.8956,19.119600000000002,72.8976,high,1512,50,3
Sion-Panvel_Highway_0,Sion-Panvel Highway,19.0433,72.9265,19.045299999999997,72.9285,medium,4919,60,3
Sion-Panvel_Highway_1,Sion-Panvel Highway,19.045299999999997,72.9285,19.0473,72.93050000000001,medium,3439,60,3
Sion-Panvel_Highway_2,Sion-Panvel Highway,19.0473,72.93050000000001,19.0493,72.9325,medium,537,40,3
Sion-Panvel_Highway_3,Sion-Panvel Highway,19.0493,72.9325,19.051299999999998,72.9345,medium,1875,80,4
