id,latitude,longitude,road_name,severity,date,time,datetime,weather,vehicle_type,road_risk_level
1,19.196905,72.993279,Thane-Belapur Road,Severe,2023-11-11,06:31,2023-11-11 06:31:26.362009,Clear,Truck,medium
2,19.110337,72.877332,Western Express Highway,Severe,2026-01-07,05:54,2026-01-07 05:54:26.362009,Clear,Bus,high
3,19.101648,72.895105,Eastern Express Highway,Severe,2025-11-18,17:55,2025-11-18 17:55:26.362009,Clear,Truck,high
4,19.044097,72.88891,Santacruz-Chembur Link Road,Severe,2024-04-13,21:55,2024-04-13 21:55:26.362009,Heavy Rain,Bike,high
5,18.969332,72.815673,Pedder Road,Moderate,2024-12-25,08:33,2024-12-25 08:33:26.362009,Rain,Auto,low
6,19.169731,72.843138,SV Road Goregaon,Minor,2025-06-28,19:47,2025-06-28 19:47:26.362009,Rain,Truck,medium
7,19.10773,72.868634,Western Express Highway,Moderate,2025-03-16,14:59,2025-03-16 14:59:26.362009,Clear,Auto,high
8,19.227831,72.970047,Ghodbunder Road,Minor,2023-11-03,05:18,2023-11-03 05:18:26.362009,Clear,Truck,high
9,19.109798,72.901354,Powai-Chandivali Road,Minor,2023-11-04,14:32,2023-11-04 14:32:26.362009,Clear,Car,medium
10,19.164388,72.964646,Mulund-Airoli Bridge,Moderate,2025-04-13,22:42,2025-04-13 22:42:26.362009,Clear,Bus,medium
11,19.073135,72.869088,BKC Road,Minor,2025-06-06,08:23,2025-06-06 08:23:26.362009,Clear,Bike,low
12,19.029475,73.030218,Palm Beach Road,Severe,2023-10-08,15:48,2023-10-08 15:48:26.362009,Rain,Truck,medium
13,19.118707,72.833225,SV Road Andheri,Minor,2023-05-12,09:06,2023-05-12 09:06:26.362009,Clear,Auto,medium
14,19.18913,73.000355,Thane-Belapur Road,Moderate,2024-10-04,11:53,2024-10-04 11:53:26.362009,Clear,Bus,medium
15,19.179999,72.966016,Mulund-Airoli Bridge,Moderate,2024-06-04,10:44,2024-06-04 10:44:26.362009,Fog,Bike,medium
16,19.196014,72.995736,Thane-Belapur Road,Minor,2025-07-25,17:39,2025-07-25 17:39:26.362009,Clear,Truck,medium
17,19.062631,72.860069,BKC Road,Moderate,2023-10-21,16:48,2023-10-21 16:48:26.362009,Rain,Bike,low
18,19.195895,73.002593,Thane-Belapur Road,Severe,2025-12-10,07:51,2025-12-10 07:51:26.362009,Clear,Car,medium
19,19.038375,73.028531,Palm Beach Road,Moderate,2023-04-22,04:25,2023-04-22 04:25:26.362009,Rain,Bike,medium
20,19.065213,72.833969,Linking Road Bandra,Moderate,2024-10-18,09:00,2024-10-18 09:00:26.362009,Clear,Truck,low
21,19.12602,72.914923,Jogeshwari-Vikhroli Link Road,Minor,2024-02-05,15:40,2024-02-05 15:40:26.362009,Clear,Auto,high
22,19.219716,72.980797,Ghodbunder Road,Severe,2025-11-18,19:20,2025-11-18 19:20:26.362009,Clear,Bike,high
23,18.950239,72.81445,Marine Drive,Minor,2025-01-19,18:56,2025-01-19 18:56:26.362009,Clear,Truck,low
24,19.021783,72.817571,Worli Sea Link,Moderate,2026-01-25,18:26,2026-01-25 18:26:26.362009,Rain,Bus,medium
25,19.065994,72.891361,LBS Marg,Minor,2024-02-23,20:44,2024-02-23 20:44:26.362009,Rain,Truck,medium
26,19.21852,72.970132,Ghodbunder Road,Minor,2025-03-25,21:23,2025-03-25 21:23:26.362009,Clear,Truck,high
27,19.007814,72.8173,Worli Sea Link,Minor,2023-05-21,10:12,2023-05-21 10:12:26.362009,Clear,Truck,medium
