id,latitude,longitude,road_name,severity,date,time,datetime,weather,vehicle_type,road_risk_level
1,18.589869,73.74159,Hinjewadi IT Park Road,Moderate,2024-07-16,05:26,2024-07-16 05:26:22,Clear,Auto,high
2,18.624496,73.823879,Pimpri-Chinchwad Link,Moderate,2025-05-13,23:55,2025-05-13 23:55:22,Clear,Bus,high
3,18.63522,73.823061,Pimpri-Chinchwad Link,Minor,2024-06-19,15:22,2024-06-19 15:22:22,Clear,Bike,high
4,18.591137,73.758024,Wakad Highway,Minor,2023-05-16,07:29,2023-05-16 07:29:22,Clear,Bike,high
5,18.559765,73.785397,Baner Road,Minor,2024-05-10,20:38,2024-05-10 20:38:22,Clear,Bike,medium
6,18.537539,73.849871,Shivajinagar Road,Minor,2025-10-31,18:30,2025-10-31 18:30:22,Clear,Auto,medium
7,18.558384,73.783226,Baner Road,Moderate,2023-08-28,06:22,2023-08-28 06:22:22,Clear,Bike,medium
8,18.587915,73.737478,Hinjewadi IT Park Road,Severe,2024-10-09,02:03,2024-10-09 02:03:22,Clear,Truck,high
9,18.595989,73.76525,Wakad Highway,Severe,2023-04-08,17:12,2023-04-08 17:12:22,Clear,Car,high
10,18.589975,73.748713,Hinjewadi IT Park Road,Moderate,2024-10-28,16:21,2024-10-28 16:21:22,Heavy Rain,Bike,high
11,18.50714,73.921692,Hadapsar Bypass,Minor,2025-09-20,21:17,2025-09-20 21:17:22,Clear,Bus,high
12,18.516827,73.842342,Deccan Road,Minor,2023-05-26,22:46,2023-05-26 22:46:22,Clear,Auto,low
13,18.552664,73.777701,Baner Road,Moderate,2025-11-16,17:08,2025-11-16 17:08:22,Heavy Rain,Truck,medium
14,18.597173,73.768951,Wakad Highway,Minor,2024-12-08,18:26,2024-12-08 18:26:22,Clear,Auto,high
15,18.585116,73.742205,Hinjewadi IT Park Road,Moderate,2025-02-28,19:38,2025-02-28 19:38:22,Heavy Rain,Car,high
16,18.512019,73.838373,Deccan Road,Minor,2024-02-15,16:18,2024-02-15 16:18:22,Rain,Bike,low
17,18.518404,73.837712,Deccan Road,Severe,2024-02-14,06:59,2024-02-14 06:59:22,Rain,Auto,low
18,18.544875,73.901653,Koregaon Park Road,Moderate,2024-09-10,22:17,2024-09-10 22:17:22,Rain,Bus,low
19,18.510382,73.80561,Kothrud Road,Moderate,2025-01-24,07:55,2025-01-24 07:55:22,Clear,Auto,medium
20,18.604497,73.756272,Wakad Highway,Minor,2024-12-07,04:53,2024-12-07 04:53:22,Rain,Car,high
21,18.634697,73.820818,Pimpri-Chinchwad Link,Moderate,2024-10-18,19:26,2024-10-18 19:26:22,Rain,Bike,high
22,18.507056,73.841369,Deccan Road,Moderate,2025-11-10,19:17,2025-11-10 19:17:22,Clear,Car,low
23,18.527973,73.85116,Shivajinagar Road,Moderate,2024-04-06,21:13,2024-04-06 21:13:22,Clear,Bus,medium
24,18.505617,73.797988,Kothrud Road,Severe,2024-11-09,17:47,2024-11-09 17:47:22,Rain,Bike,medium
25,18.558086,73.776169,Baner Road,Moderate,2023-05-25,12:40,2023-05-25 12:40:22,Fog,Car,medium
26,18.601585,73.759154,Wakad Highway,Minor,2025-06-10,18:24,2025-06-10 18:24:22,Clear,Car,high
27,18.549773,73.78204,Baner Road,Moderate,2026-02-10,17:09,2026-02-10 17:09:22,Clear,Car,medium
28,18.521753,73.841916,Deccan Road,Minor,2025-04-13,09:21,2025-04-13 09:21:22,Clear,Auto,low
29,18.536106,73.843842,Shivajinagar Road,Fatal,2024-02-28,10:02,2024-02-28 10:02:22,Rain,Bike,medium
30,18.634777,73.809784,Pimpri-Chinchwad Link,Moderate,2023-04-03,06:12,2023-04-03 06:12:22,Clear,Bike,high
31,18.55959,73.921886,Viman Nagar Road,Minor,2024-07-01,05:21,2024-07-01 05:21:22,Clear,Car,medium
32,18.52324,73.836786,Shivajinagar Road,Minor,2025-02-23,18:19,2025-02-23 18:19:22,Rain,Auto,medium
